gene_ncbi,pubmed_id,mentioned,mentioned_citations,hit
9722.0,16648850,True,True,True
5654.0,17053108,True,True,True
79068.0,17434869,True,True,True
2263.0,17529973,True,True,True
9846.0,17553421,True,True,True
6928.0,17603485,True,True,True
64241.0,17632509,True,True,True
23274.0,17632545,True,True,True
4016.0,17690259,True,True,True
8091.0,17767157,True,True,True
7185.0,17804836,True,True,True
26191.0,17804836,False,True,True
4092.0,17934461,True,True,True
56606.0,17997608,True,True,True
55245.0,18193045,True,True,True
51085.0,18193046,True,True,True
4023.0,18193046,False,True,True
640.0,18204098,True,True,True
6775.0,18204098,False,True,True
3117.0,18204098,False,True,True
3687.0,18204098,False,True,True
3684.0,18204446,True,True,True
4439.0,18204446,False,False,True
285498.0,18239089,True,True,True
8924.0,18252221,True,True,True
56606.0,18327256,True,True,True
3953.0,18439548,True,True,True
348.0,18439548,False,True,True
2646.0,18439548,True,True,True
6927.0,18439548,True,True,True
57818.0,18451265,True,True,True
57405.0,18451265,False,False,True
28.0,18604267,True,True,True
3383.0,18604267,False,True,True
3784.0,18711366,True,True,True
3784.0,18711367,True,True,True
56606.0,18759275,True,True,True
2524.0,18776911,True,True,True
2205.0,18846228,True,True,True
4544.0,19060907,True,True,True
57818.0,19060907,False,True,True
57405.0,19060907,False,False,True
2645.0,19060907,False,True,True
7018.0,19084217,False,True,True
3077.0,19084217,True,True,True
3098.0,19096518,True,True,True
2645.0,19096518,False,True,True
81037.0,19151717,True,True,True
7128.0,19165918,True,True,True
6775.0,19165918,False,True,True
28.0,19278955,True,True,True
1559.0,19300499,True,True,True
3115.0,19349983,True,True,True
580.0,19412175,True,True,True
389421.0,19448623,True,True,True
3595.0,19458352,True,True,True
4254.0,19483682,True,True,True
7132.0,19525953,True,True,True
3134.0,19525953,False,True,True
23562.0,19561606,True,True,True
463.0,19597491,True,True,True
463.0,19597492,True,True,True
217.0,19698717,True,True,True
125.0,19698717,True,True,True
164656.0,19820698,True,True,True
164656.0,19820699,True,True,True
3684.0,19838195,False,True,True
10318.0,19838195,True,True,True
3663.0,19838195,False,True,True
26191.0,19838195,False,False,True
3122.0,19838195,False,True,True
6775.0,19838195,False,True,True
7128.0,19838195,False,True,True
9370.0,20018283,True,True,True
326624.0,20031577,False,False,True
146722.0,20031577,False,False,True
3570.0,20031577,False,True,True
2244.0,20031577,True,True,True
1636.0,20066004,True,True,True
2696.0,20081857,True,True,True
111.0,20081857,False,True,True
3953.0,20167575,True,True,True
2113.0,20169177,True,True,True
57705.0,20169177,True,True,True
3704.0,20173735,True,True,True
3782.0,20173747,True,True,True
10144.0,20173748,True,True,True
3273.0,20303064,True,True,True
3827.0,20303064,True,True,True
2870.0,20303064,False,False,True
111.0,20372150,True,True,True
79991.0,20421499,True,True,True
7941.0,20442857,True,True,True
1235.0,20453841,True,True,True
1761.0,20543847,True,True,True
4254.0,20543847,False,True,True
7015.0,20543847,True,True,True
3586.0,20622878,True,True,True
29949.0,20622878,False,False,True
846.0,20661308,True,True,True
846.0,20705733,True,True,True
387715.0,20861866,False,False,True
6499.0,20861866,True,True,True
8626.0,20871597,True,True,True
7015.0,20871597,False,True,True
10758.0,20953186,True,True,True
4137.0,21044948,False,True,True
6622.0,21044948,True,True,True
7369.0,21082022,True,True,True
139189.0,21113153,True,True,True
4004.0,21124317,True,True,True
580.0,21124317,False,True,True
164656.0,21149283,False,True,True
23387.0,21149283,False,False,True
9159.0,21149283,True,True,True
6928.0,21160077,False,False,True
354.0,21160077,True,True,True
81037.0,21160077,False,True,True
4477.0,21160077,False,False,True
11173.0,21239051,True,True,True
1185.0,21273288,True,True,True
150962.0,21298027,True,True,True
220202.0,21307088,True,True,True
80864.0,21323541,False,False,True
389376.0,21323541,False,False,True
6048.0,21323541,False,False,True
10919.0,21323541,False,False,True
135656.0,21323541,False,False,True
10665.0,21323541,False,False,True
7916.0,21323541,False,False,True
3117.0,21323541,True,True,True
22925.0,21323541,True,True,True
7918.0,21323541,False,False,True
56244.0,21323541,False,False,True
5460.0,21323541,False,False,True
170679.0,21323541,False,False,True
8859.0,21323541,False,False,True
6941.0,21323541,False,False,True
8029.0,21355061,True,True,True
196.0,21357676,True,True,True
217.0,21372407,True,True,True
160762.0,21372407,False,False,True
1378.0,21460840,False,True,True
10347.0,21460840,True,True,True
27185.0,21483430,True,True,True
196.0,21490707,True,True,True
28.0,21533024,False,True,True
3383.0,21533024,True,True,True
1761.0,21551455,True,True,True
65992.0,21659334,True,True,True
2475.0,21665993,True,False,True
7018.0,21665994,True,True,True
58477.0,21665994,False,True,True
3077.0,21665994,False,True,True
9681.0,21725309,True,True,True
51752.0,21743469,True,True,True
149233.0,21743469,False,True,True
23046.0,21743469,False,True,True
6563.0,21750109,True,False,True
1012.0,21771975,True,True,True
164656.0,21785125,True,True,True
7018.0,21785125,False,True,True
3077.0,21785125,True,False,True
8028.0,21804547,True,True,True
10152.0,21862451,False,False,True
6051.0,21862451,False,False,True
590.0,21862451,True,True,True
4018.0,21900290,True,True,True
5340.0,21900290,False,False,True
2200.0,21909107,True,True,True
7157.0,21946351,True,True,True
83990.0,21964575,True,True,True
4277.0,22001756,True,True,True
1952.0,22003152,False,False,True
8882.0,22003152,False,True,True
7941.0,22003152,True,True,True
3949.0,22003152,False,False,True
7015.0,22037553,True,True,True
1012.0,22065538,True,True,True
1356.0,22075249,True,True,True
2212.0,22081228,True,True,True
79934.0,22081228,False,False,True
80271.0,22081228,False,True,True
54901.0,22290723,True,True,True
9734.0,22306652,True,True,True
1959.0,22327514,True,True,True
5077.0,22341974,True,False,True
2066.0,22452962,True,True,True
5184.0,22479202,False,False,True
26354.0,22479202,False,False,True
1012.0,22479202,False,True,True
80790.0,22479202,False,True,True
55193.0,22479202,False,False,True
9370.0,22479202,True,True,True
